Date,Observation Time,Purchase Order Number,RCS Number,Work Order Number,Job Start Time,Job Finish Time,Work group,Risk,OC,Authority To Proceed Description,Does ARP walk the job. In the alloted time frames,Field Verifications Completed (ARP),Field Verifications Completed (CRP),Supervision Present,# of People on Job
8/07/2021,14:15:00,7191815,,,11:30:00,,Awayclean,High,1,Vacuum & jet wash 25 feed conveyors silt pit ,No,Yes,Yes,No,2
8/07/2021,8:30:00,7189318,90578,,7:10:00,,GLU Ropes,High,1,C/out popper on steam line 25a  STL #7,No,Yes,Yes,No,2
8/07/2021,9:45:00,7181625,87318,,9:45:00,,GLU Scaff,High,1,Internal scaffold #51 B.O.T.,No,Yes,Yes,No,3
8/07/2021,13:56:00 PM,7181625,87318,,13:15:00,,GLU Scaff,High,1,Internal scaffold #51 B.O.T.,No,Yes,Yes,No,3
8/07/2021,11:00:00,7181625,87318,,11:06:00,,GLU Scaff,High,1,Internal scaffold #51 B.O.T.,No,Yes,Yes,No,3
9/07/2021,10:30:00,7178513,,,8:00:00,,Awayclean,High,1,Descale #34 Sand trap,No,Yes,Yes,No,1
9/07/2021,8:02:00,7178513,,,8:00:00,,Awayclean,High,1,Descale #34 Sand trap,No,Yes,Yes,No,3
9/07/2021,7:44:00,,82775,4302013,7:45:00,,SAL,Medium,1,Routine thickness testing Bld 30,No,Yes,Yes,No,3
9/07/2021,10:35:00,,82775,4302013,7:45:00,,SAL,medium,1,Routine thickness testing Bld 30,No,Yes,Yes,No,3
9/07/2021,11:59:00,7171054,83341,,11:20:00,13:00:00,GLU Scaff,High,1,#11 digester bank service,No,Yes,Yes,No,2
9/07/2021,8:30:00,7183397,90112,,7:30:00,,GLU Scaff,High,1,#34 digester bank service,No,Yes,Yes,No,2
12/07/2021,13:30:00,7182641,82775,,8:00:00,,SAL,Medium,1,Routine thickness testing Bld 30,No,Yes,Yes,No,1
12/07/2021,7:30:00,7185365,,,8:00:00,,SAL,Medium,1,Test cone #31 sand trap,No,Yes,Yes,No,2
12/07/2021,10:00:00,7185365,,,8:00:00,11:15:00,SAL,Medium,1,Test cone #31 sand trap,No,Yes,Yes,No,2
13/07/2021,8:15:00,713559,,,8:20:00,,SAL,Medium,1,Routine  Vibration testing 25A/25C,No,Yes,Yes,No,1
13/07/2021,10:30:00,713559,,,8:20:00,,SAL,Medium,1,Routine vibration monitoring,No,Yes,Yes,No,1
13/07/2021,14:12:00,713559,,,8:20:00,,SAL,Medium,1,Routine vibration monitoring,No,Yes,Yes,No,1
13/07/2021,10:05:00,7189798,,,8:00:00,,Pactim Engineering,Medium,1,#55 heater repairs,No,Yes,Yes,No,2
13/07/2021,8:29:00,,82775,4302013,8:30:00,,SAL,Medium,1,Routine thickness testing Bld 30,No,Yes,Yes,No,1
13/07/2021,10:45:00,,82775,,8:29:00,,SAL,Medium,1,Routine thickness testing Bld 30,No,Yes,Yes,No,1
13/07/2021,14:15:00,,82775,4302013,8:30:00,,SAL,Medium,1,Routine thickness testing Bld 30,No,Yes,Yes,No,1
14/07/2021,11:00:00,7183397,,,10:30:00,,GLU Mech,High,1,#34 digester bank service,No,Yes,Yes,No,3
14/07/2021,12:05:00,7186385,90684,,7:30:00,,GLU Ropes,High,1,C/out elbow 30 unit #3,No,Yes,Yes,No,3
14/07/2021,11:25:00,7192851,92386,,6:30:00,,GLU Scaff,High,1,Erect scaffold #5 mill,No,Yes,Yes,No,3
14/07/2021,13:18:00,7192851,92386,,6:30:00,13:18:00,GLU Scaff,High,1,Erect scaff #5 mill,No,Yes,Yes,No,3
14/07/2021,6:46:00,,,,6:30:00,,GLU Scaff,High,1,Erect scaffold #5 mill,No,Yes,Yes,No,3
14/07/2021,14:10:00,7193332,,,7:30:00,,Pactim Engineering,Medium,1,Repair BLD. 42 11/1 heater,No,Yes,Yes,No,4
14/07/2021,7:19:00,,82775,430213,7:30:00,,SAL,Medium,1,Routine NDT Bld. 30,No,Yes,Yes,No,2
14/07/2021,9:15:00,,82775,430213,7:30:00,,SAL,Medium,1,Routine NDT Bld. 30,No,Yes,Yes,No,2
14/07/2021,10:17:00,,,,10:00:00,10:30:00,Jetsonwash,Medium,1,Remove waste liquid  Mills lube shed,No,Yes,Yes,No,1
15/07/2021,7:36:00,7192452,82775,,7:30:00,,SAL,Medium,1,NDT on live steam heater heads Bld. 30,No,Yes,Yes,No,1
15/07/2021,10:35:00,7192452,82775,,7:36:00,,SAL,Medium,1,NDT on live steam heater heads Bld. 30,No,Yes,Yes,No,1
15/07/2021,13:50:00,7192452,82775,,7:36:00,,SAL,Medium,1,NDT on live steam heater heads Bld. 30,No,Yes,Yes,No,1
15/07/2021,7:49:00,7193821,,,7:30:00,,Awayclean,Medium,1,Clean slurry from Lake Duck 25A ,No,Yes,Yes,No,2
15/07/2021,11:00:00,7193821,,,7:50:00,,Awayclean,Medium,1,Clean slurry from Lake Duck 25A ,No,Yes,Yes,No,2
15/07/2021,13:10:00,7193821,,,7:50:00,,Awayclean,Medium,1,Clean slurry from Lake Duck 25A ,No,Yes,Yes,No,2
16/07/2021,8:28:00,7183397,,,7:00:00,,GLU Scaff,High,1,Internal scaffolds #34 Digesters,No,Yes,Yes,No,5
16/07/2021,7:19:00,7192452,82775,,7:00:00,,SAL,Medium,1,Routine NDT Bld. 30,No,Yes,Yes,No,2
16/07/2021,9:00:00,7192452,82775,,7:00:00,,SAL,Medium,1,Routine NDT Bld. 30,No,Yes,Yes,No,2
16/07/2021,13:30:00,7192452,82775,,7:00:00,,SAL,Medium,1,Routine NDT Bld. 30,No,Yes,Yes,No,2
19/07/2021,9:11:00,7194254,,,7:00:00,,Awayclean,High,2,HPW clean  #13 Mud thickener tank,No,Yes,Yes,No,3
22/07/2021,11:49:00,7191185,,,7:00:00,,Awayclean,High,2,Clean Mud troughs,No,Yes,Yes,No,4
23/07/2021,7:50:00,7166002,,,7:00:00,11:45:00,GLU Elec,High,2,Rewire precoat pumps,No,Yes,Yes,No,2
23/07/2021,8:31:00,7169199,,,6:30:00,,GLU Mech,High,2,Replace Biox line,No,Yes,Yes,No,3
23/07/2021,8:51:00,7176496,,,7:30:00,,Awayclean,High,2,Descale F13 Thickener,No,Yes,Yes,No,4
23/07/2021,8:20:00,7184806,90350,,7:20:00,,GLU Mech,High,2,Install spool 37A #2 OFT.,No,Yes,Yes,No,2
23/07/2021,8:02:00,7191185,,,8:00:00,,Awayclean,High,2,Clean mud troughs,No,Yes,Yes,No,3
23/07/2021,7:30:00,7185218,,,7:15:00,,Olivea,Medium,2,Repair potable water line,No,Yes,Yes,No,2
26/07/2021,8:57:00,7135408,,,8:00:00,11:00:00,SAL,Medium,3C,Routine vibration test,No,Yes,Yes,No,1
26/07/2021,10:50:00,7186763,,,9:30:00,,GLU Elec,Medium,3P,Install lights 45 CWT Pump,No,Yes,Yes,No,2
